U,Cp,Ct
0,0.000,0.000
2.9,0.000,0.000
3.0,0.489,0.799
4.0,0.489,0.799
5.0,0.489,0.799
6.0,0.489,0.799
7.0,0.489,0.799
8.0,0.489,0.799
9.0,0.489,0.799
10.0,0.489,0.799
10.59,0.489,0.799
11.0,0.436,0.740
12.0,0.334,0.620
13.0,0.263,0.530
14.0,0.211,0.460
15.0,0.171,0.400
16.0,0.141,0.350
17.0,0.117,0.310
18.0,0.099,0.280
19.0,0.084,0.250
20.0,0.072,0.230
21.0,0.062,0.210
22.0,0.054,0.190
23.0,0.047,0.170
24.0,0.042,0.160
25.0,0.037,0.150
25.1,0.000,0.000
50.0,0.000,0.000
